,Dataset,model_name,Stats,Normal_auc,SMOTE_auc,ADASYNC_auc,SG_auc,AG_auc,G_auc
0,Bcwd_Result,logistic_regression_classifier,mean,0.9615472123925473,0.965044658479539,0.9695857680972745,0.962476159013883,0.9630334810372837,0.9635000566488141
1,,,std,2.453799773102583e-06,0.002648140608057336,0.0016922609032411994,0.003909399888786406,0.004522161475480079,0.003970071827633689
2,,random_forest_classifier,mean,0.9601581316397377,0.9614626252501759,0.9642355730780523,0.9645198854875731,0.9629530786907341,0.9648308216584689
3,,,std,0.004316371569259688,0.003358959704297482,0.003637087226261919,0.0035799515635062413,0.003809633807791875,0.0038669043513727104
4,,simple_vector_classifier,mean,0.9612266084748842,0.96748716851595,0.9732708296543043,0.9709524700563549,0.9695906535661867,0.9728293825623584
5,,,std,2.1445331934700283e-06,0.002446358642697743,0.00104048955517571,0.003966318855714657,0.004033747039224997,0.0030999740725966766
0,Bcwo_Result,logistic_regression_classifier,mean,0.9615420860190736,0.9650398306256048,0.9695796738160756,0.9624706296254414,0.963028352620403,0.963495137396811
1,,,std,0.0,0.0026479025208640144,0.0016927913156636386,0.003909626544937945,0.00452269231733969,0.003970431489460278
2,,random_forest_classifier,mean,0.9601531971301847,0.9614572731727543,0.9642314385515223,0.9645147762825588,0.9629484086597058,0.9648260708407151
3,,,std,0.004315859575427854,0.003358810566952427,0.0036371369844790166,0.003580434669785372,0.003809828074537524,0.003866470613649299
4,,simple_vector_classifier,mean,0.961221681932979,0.9674819694171158,0.9732662055360801,0.9709475165542112,0.9695848568233506,0.9728248646135675
5,,,std,0.0,0.0024465628714666374,0.0010404256634495453,0.003966883247410835,0.004033157444323179,0.003099093890418542
0,Csc_Result,logistic_regression_classifier,mean,0.5645780051150895,0.6232949701619778,0.5821824381926682,0.5692028985507246,0.565835464620631,0.5853580562659847
1,,,std,0.0,0.013088537177825816,0.024821166975826127,0.022162147620225257,0.025930424861691358,0.031950232424317604
2,,random_forest_classifier,mean,0.5442242114236999,0.5407928388746802,0.5339300937766411,0.5502557544757033,0.5434782608695652,0.5542412617220801
3,,,std,0.01616494440054816,0.020477851019255245,0.01348309266920082,0.01690789964754296,0.016673151931464583,0.01766746786431067
4,,simple_vector_classifier,mean,0.5,0.5364876385336744,0.5,0.541389599317988,0.5,0.566005967604433
5,,,std,0.0,0.014385511476653434,0.0,0.03543755758414605,0.0,0.02266903715605087
0,Drd_Result,logistic_regression_classifier,mean,0.7466918227556525,0.7523906871956517,,0.7486039380897538,,0.7509232991857105
1,,,std,0.0,0.002973613016359364,,0.0044884741643913635,,0.004977561865376049
2,,random_forest_classifier,mean,0.6843666525226808,0.6864165706896203,,0.6835246307409428,,0.6834579014366249
