,Dataset,model_name,Stats,Normal_matthews,SMOTE_matthews,ADASYNC_matthews,SG_matthews,AG_matthews,G_matthews
0,Drp,logistic_regression_classifier,mean,0.8425430870953025,0.8359018330376558,0.8252513408506091,0.7901035888150212,0.7844547362649412,0.8231781363063846
1,,,std,0.010432960207531613,0.013871163074305241,0.013382672778847122,0.02229117068559595,0.0203192600104444,0.013079929654029144
2,,random_forest_classifier,mean,0.9558067906977079,0.9548556911805753,0.9556663926134661,0.9553770122825019,0.9541960143817682,0.9567330669189905
3,,,std,0.010184350929355651,0.009636163959172842,0.010068679522512041,0.010408434229690854,0.011581133903026668,0.010024383077980882
4,,simple_vector_classifier,mean,0.0,0.2985627872609572,0.2564930388286536,0.28236883466718987,0.2651565052418147,0.21541641482304374
5,,,std,0.0,0.02287917154075281,0.02139403172656336,0.02659789806216699,0.032100862276754995,0.011011281124017523
0,Dtcr,logistic_regression_classifier,mean,0.7488950734672645,0.7318394332160483,0.7290733759581894,0.7379016268162772,0.7412923080509347,0.7322291144224397
1,,,std,0.013934340547798326,0.017358493272725165,0.015935664180259997,0.014588039524310264,0.014822781366726285,0.02047676698117001
2,,random_forest_classifier,mean,0.9026360562544096,0.8977539105538043,0.8965786902081594,0.8905406274261858,0.8933014856711649,0.8913549154828938
3,,,std,0.012543607526099135,0.013735385862743855,0.0123392493631,0.014505669026596271,0.011685625029411374,0.013439036823742333
4,,simple_vector_classifier,mean,0.3650060063068192,0.6221464945000696,0.6174678496860985,0.5590144675203599,0.5684898916018997,0.531266597661488
5,,,std,0.01531479787448449,0.020490147714977387,0.01833391283002454,0.052523768955704125,0.039253451003444406,0.040081531064410134
0,Bcwo,logistic_regression_classifier,mean,0.9287860692040112,0.932562512576865,0.9319972467439712,0.9321207691090533,0.9329341290163207,0.9326902540639653
1,,,std,0.0031162276968113548,0.005394072434883796,0.004343808483462774,0.00596180210293648,0.006824881804375861,0.005910091798477934
2,,random_forest_classifier,mean,0.9355913542982108,0.9364571424715804,0.9338180878201217,0.9373417436796061,0.9372332534378001,0.9408552752555269
3,,,std,0.005539291608993767,0.006383180072089062,0.005626059023380402,0.0057480400116736614,0.006338826955625836,0.006833508389023225
4,,simple_vector_classifier,mean,0.934651555970726,0.9364611680221375,0.9364108889507388,0.9394138571034559,0.9390117926278003,0.9384349552251958
5,,,std,0.004401100778945547,0.0051259613183384685,0.003273442624549508,0.005517192819628107,0.004866047181396855,0.0041083459816515025
0,Hfcr,logistic_regression_classifier,mean,0.5754291075027769,0.5074583134164333,0.5125247745900521,0.5744852627472464,0.563873318428668,0.557039291109653
1,,,std,0.015378564280405094,0.02113750744296032,0.027129261919666293,0.023690502756828446,0.02033326483370116,0.023748067415339493
2,,random_forest_classifier,mean,0.6312401639689251,0.6551940296798701,0.6495921524707602,0.6359214348384685,0.63797735178976,0.6343657111694024
3,,,std,0.022235892418981378,0.023481891197171468,0.016447316118750232,0.022796666916270334,0.023415838259741015,0.025051259145155595
4,,simple_vector_classifier,mean,0.0,0.01414959573333191,0.020314707086926564,0.06706810047224689,0.06800752867788319,0.06706810047224689
5,,,std,0.0,0.04211821300653634,0.03910546493032424,0.01436655538287712,0.01446064161010388,0.01436655538287712
0,Csc,logistic_regression_classifier,mean,0.2244596277319541,0.32243720822944666,,0.20193850828258597,,0.20049050557546813
1,,,std,0.07202464679300002,0.0644777712527811,,0.059658825637896734,,0.07779816312410646
2,,random_forest_classifier,mean,0.12641000424870058,0.13107282169447776,,0.12976703615575474,,0.12510488494125938
3,,,std,0.06442072047281892,0.07085965622061392,,0.06303544296916118,,0.06602497421528732
4,,simple_vector_classifier,mean,0.0,0.10057666965872185,,0.05821588157744446,,0.11182253023865654
5,,,std,0.0,0.07302961326687449,,0.0747342257863699,,0.05002476354663381
0,Bcwd,logistic_regression_classifier,mean,0.8774956196234324,0.8820055179087308,0.8650061322512418,0.8703134777802541,0.8728387625977898,0.8712297043069002
1,,,std,0.010437723278799379,0.010238174212491104,0.01255039258222345,0.013342047313855217,0.008633348808891468,0.013868074731065164
2,,random_forest_classifier,mean,0.9163540505570024,0.9178977646756554,0.9160999280680696,0.9152235875931887,0.9154770908733526,0.9162164804015077
3,,,std,0.008128535063345802,0.007480723056634805,0.007948067726593505,0.007728619619279318,0.007344613950893145,0.0072677251086474765
4,,simple_vector_classifier,mean,0.8228198056186751,0.805553282686478,0.7958604012550562,0.8295463922290873,0.8290841444006447,0.8294376877071815
5,,,std,0.008874043946018826,0.008921185689797438,0.004513405500887652,0.003421795160851478,0.003936228447922057,0.0032416229518069527
0,Tsd,logistic_regression_classifier,mean,0.018631424735809112,0.15744379871465822,0.15524179400680133,0.08144576360468551,0.08557632833008247,0.08240812544941525
1,,,std,0.05343564667842885,0.03092897863344255,0.02250666295997101,0.026224395478464037,0.031296060425646526,0.03850971815976792
2,,random_forest_classifier,mean,0.01487498448773823,0.050387653565383966,0.05487217270631002,0.014194500817610574,0.026290284529448194,0.01711313729897097
3,,,std,0.040695710303666366,0.03863740768503295,0.04182073028737142,0.05030772276542857,0.048085909889234585,0.04663932777463911
4,,simple_vector_classifier,mean,0.0,-0.020590211053517604,-0.009909254050336876,-0.015632645930891087,-0.013923751111828133,-0.005108012713951493
5,,,std,0.0,0.0414550791412193,0.047379705191067774,0.02822719753397974,0.03190784457221779,0.03222639612325263
0,Drd,logistic_regression_classifier,mean,0.5024227354007118,0.5019268022413864,,0.4962932616694634,,0.49778016947335346
1,,,std,0.007424718600705974,0.007017803092154928,,0.011364877036951746,,0.010648221028070438
2,,random_forest_classifier,mean,0.3621085122934095,0.365661164047116,,0.36094301950028035,,0.364673170785974
3,,,std,0.015665543495357412,0.01762741782396137,,0.018290715361929975,,0.021077525580655065
4,,simple_vector_classifier,mean,0.41657837413437854,0.4209991184357109,,0.41516017879172856,,0.41414273369908555
5,,,std,0.009669546131854292,0.00818507634073623,,0.00737462767764275,,0.00618662673495189
0,Pid,logistic_regression_classifier,mean,0.4786744926272682,0.46127974983180187,0.44822570590803584,0.12979787415225838,0.13815242335415537,0.12279449680149873
1,,,std,0.01792116274128722,0.018307334671872046,0.020235694769751098,0.02635009505001198,0.0249648502589123,0.020319378224665282
2,,random_forest_classifier,mean,0.4581845600298638,0.4686520864539532,0.46484973419522996,0.4637874311981785,0.46314734481990405,0.46726494537083446
3,,,std,0.01735771612402596,0.017480018643956676,0.019556313749266432,0.016768968925965463,0.018612272566218134,0.011782713947683827
4,,simple_vector_classifier,mean,0.44049107814564065,0.42822950949445443,0.4206614440351153,0.39882434782967063,0.3990343505589324,0.4012876450592439
5,,,std,0.009487323840974298,0.014056076966132945,0.013582530633904567,0.012956820086998297,0.011862709384374457,0.012473105531508499
0,Ilpd,logistic_regression_classifier,mean,0.16084478331303068,0.36007193519086705,0.3512511428852682,0.23610609090962437,0.2291311696670936,0.22731696686149233
1,,,std,0.02485372808636252,0.017332100535556255,0.01785146390001091,0.021796267009163536,0.02265154016879234,0.026949676037976017
2,,random_forest_classifier,mean,0.19966266585628745,0.2676065498843174,0.27207186679818635,0.22600042843569046,0.22562202528007402,0.2209415167485379
3,,,std,0.03602912853603936,0.029867776031242688,0.03247775196030849,0.026965207544360232,0.029137568105037048,0.035369258293663774
4,,simple_vector_classifier,mean,0.0,0.2979952450931355,0.30031485837346616,-0.016123686331044253,-0.013362734945192724,-0.03148847836770667
5,,,std,0.0,0.010312458740059016,0.008376912179948041,0.020856084259710864,0.02386775904677187,0.018945550258772176
0,Ggcm,logistic_regression_classifier,mean,0.7411366959052272,0.7493927453331365,0.7500546110123723,0.7385881946993412,0.7425018869554005,0.7421257679036638
1,,,std,0.003895559480481287,0.0047816910349553305,0.0041980635569802026,0.008948343117919123,0.00603084744179991,0.006874094703368322
2,,random_forest_classifier,mean,0.6716337974078478,0.6764622097841343,0.6736943115167995,0.672224410721509,0.6721069382581794,0.6697512735471637
3,,,std,0.015074188975028772,0.016480060366355378,0.01653155541848893,0.0170773487222094,0.016059489938927484,0.014558188721918504
4,,simple_vector_classifier,mean,0.46834500137521523,0.4944840164639028,0.49886747031777,0.49271728739554177,0.48796829226646143,0.5004782667372073
5,,,std,0.004768061396741037,0.009163901295035791,0.007926824722920832,0.01050467896363458,0.008891958147196294,0.007076103379292412
0,Fhs,random_forest_classifier,mean,0.13046426065226135,0.13937816738710943,0.13244029192679055,0.12409945021372153,0.12185700002526692,0.1260750669168968
1,,,std,0.016083745463209922,0.016159502294813277,0.014189235602880806,0.021450786283598047,0.017112060079546996,0.014702954356226374
2,,simple_vector_classifier,mean,0.028155712535986966,0.23796305450141966,0.2375753936608701,0.056035764971338796,0.05512726170284636,0.05495320395755914
3,,,std,0.023708698290899454,0.005581152056368829,0.004860088445318746,0.011051536005120466,0.007849956835525583,0.012178235009382745
