,Dataset,model_name,Stats,Normal_specificity,SMOTE_specificity,ADASYNC_specificity,SG_specificity,AG_specificity,G_specificity
0,Drp,logistic_regression_classifier,mean,0.9203301282051283,0.924838141025641,0.9248365384615383,0.9049198717948719,0.9027019230769231,0.9167772435897437
1,,,std,0.005769682969310124,0.0076378259971603265,0.006917002474334736,0.011530531186475785,0.01063039143910237,0.006428814248612907
2,,random_forest_classifier,mean,0.9777115384615385,0.9771185897435898,0.9775464743589743,0.9771538461538463,0.9769807692307693,0.9778669871794873
3,,,std,0.005911993574669541,0.00563055781637483,0.006199094919559092,0.006143001157560675,0.006373829413113643,0.005875614575020251
4,,simple_vector_classifier,mean,0.3846153846153845,0.6317147435897436,0.5788237179487179,0.6275689102564103,0.6040785256410256,0.6264439102564103
5,,,std,0.0,0.01320769651099072,0.014799631002976169,0.01615683925380726,0.020558124839334054,0.00529330443998276
0,Dtcr,logistic_regression_classifier,mean,0.8410610163134097,0.8678147532768943,0.8738091503957475,0.8478866647326178,0.8492174427770597,0.8459582978025101
1,,,std,0.008649053616303255,0.01173675128357012,0.011649481292452836,0.009974179384375908,0.009332679896296879,0.011304840889964663
2,,random_forest_classifier,mean,0.9241133733622855,0.9309776793171048,0.9324594684881891,0.9221992978816302,0.9222687771243037,0.9217737279965305
3,,,std,0.008267776519149226,0.00906466971986599,0.008171552572213428,0.008783713666637325,0.007549270596517519,0.009132122366904633
4,,simple_vector_classifier,mean,0.4504792192303071,0.7753141100591058,0.7835730762806481,0.7099966535092732,0.7144310877853088,0.6876813068310023
5,,,std,0.008617279756164256,0.01393428461398209,0.014092451491062894,0.027738892991949607,0.022605314549382832,0.020560866965093943
0,Bcwo,logistic_regression_classifier,mean,0.9596578744245939,0.9649036660176904,0.9721726020389927,0.9664203097465778,0.9655620328084292,0.9661915647951289
1,,,std,0.002499727171173435,0.0039002722466341924,0.0025693658162582894,0.004056238659637959,0.005268820311898132,0.004470931229604086
2,,random_forest_classifier,mean,0.9679955898239744,0.9712822957301843,0.971410118867497,0.971943226544665,0.97110609233933,0.9745869498025872
3,,,std,0.0039079742510523,0.004430171470024092,0.003759197523145677,0.004183434214549162,0.004786474741854952,0.005082188855592897
4,,simple_vector_classifier,mean,0.9710670014403237,0.975799230805755,0.9814464399769814,0.9783497243207664,0.9777557524688996,0.9777269176648606
5,,,std,0.0027120971911216173,0.0032817684383354482,0.0017271302259139754,0.0030476339757516914,0.0027648224885663086,0.0029072772352406384
0,Hfcr,logistic_regression_classifier,mean,0.729668790833521,0.7593082465177667,0.7555386397918258,0.7306863166402147,0.7225130108938205,0.7206707886899042
1,,,std,0.00954662588540232,0.013448738510067535,0.016145311521622626,0.014664433229733967,0.011687390147181112,0.015049471858526543
2,,random_forest_classifier,mean,0.7722660819315618,0.8145117230761908,0.8106593051917266,0.7736338161047681,0.7758330484483034,0.7736308070781459
3,,,std,0.013054635404408953,0.015520697447595948,0.011531540148360083,0.01244258632206669,0.015734118147394553,0.015290792320085993
4,,simple_vector_classifier,mean,0.3210702341137124,0.39299457414150063,0.3701141130442105,0.34091983884431404,0.3411555783463579,0.34091983884431404
5,,,std,0.0,0.022921407035159876,0.01600198714829282,0.0034904751832777786,0.003493289188124968,0.0034904751832777786
0,Csc,logistic_regression_classifier,mean,0.5925479539641944,0.6745993179880648,,0.6042956095481671,,0.6032203751065645
1,,,std,0.03544481670629481,0.033586084035086936,,0.033411720588454846,,0.04294956377339955
2,,random_forest_classifier,mean,0.545163043478261,0.5538533674339301,,0.5499701619778345,,0.5459771952259165
3,,,std,0.033275186565756516,0.037971922117974226,,0.03451906305030471,,0.03511168900557166
4,,simple_vector_classifier,mean,0.425,0.5873476129582268,,0.5233642369991475,,0.5518169224211424
5,,,std,0.0,0.029080627137704363,,0.04257356598286267,,0.028464827803694664
0,Bcwd,logistic_regression_classifier,mean,0.9287568409110281,0.9371503394606508,0.9396656029523923,0.924985766985332,0.9262562926597616,0.925676319759149
1,,,std,0.0064283967897543915,0.00659309381425589,0.0068873880568929334,0.008232523495608778,0.005808020739473796,0.00800237366356198
2,,random_forest_classifier,mean,0.9517970303373751,0.9581131558414171,0.9603607561449269,0.9509730387938354,0.9514257876775408,0.9508681736447605
3,,,std,0.004674052251223594,0.00407390192486901,0.004491569386273371,0.004769349046224631,0.0046402251604912145,0.004710980559159953
4,,simple_vector_classifier,mean,0.871748555729838,0.8900881713121189,0.9123020114745283,0.8807038829503129,0.8801815573196816,0.8805413705312568
5,,,std,0.006038757795113224,0.005468832783245188,0.002651418404056667,0.002277595837714214,0.002687211573016191,0.0023278291213729894
0,Tsd,logistic_regression_classifier,mean,0.16181306990881456,0.5733632218844985,0.5534526342451874,0.22049240121580543,0.22183232016210735,0.22056686930091182
1,,,std,0.013054259569655927,0.03709595162785476,0.024292200596079866,0.014479762533702529,0.015197811644281762,0.018882014428726574
2,,random_forest_classifier,mean,0.1582071935157041,0.20880547112462003,0.21018262411347513,0.15743389057750756,0.1607380952380952,0.15856281661600807
3,,,std,0.008256555632305875,0.021312157009772025,0.02166867705403412,0.00881804055264159,0.01054294652941077,0.008650875200053202
4,,simple_vector_classifier,mean,0.1489361702127659,0.6956633738601823,0.16480547112462002,0.15025506585612966,0.15062310030395135,0.15226899696048632
5,,,std,0.0,0.08044392513362995,0.016251136163321606,0.005570870397042229,0.005868922473443201,0.0065185771829496175
0,Drd,logistic_regression_classifier,mean,0.7544443719426929,0.7541083256219031,,0.7514084751141951,,0.7521820401013333
1,,,std,0.003710963597579161,0.00350615541361698,,0.005661400060624288,,0.005309724997900387
2,,random_forest_classifier,mean,0.6828550547264461,0.6854606591890853,,0.6824140651923462,,0.6842549508470601
3,,,std,0.007964335847044096,0.008904125286161302,,0.009349540337666992,,0.010739447675304787
4,,simple_vector_classifier,mean,0.7112673035831436,0.710781727315084,,0.7082727717249349,,0.7079305847866644
5,,,std,0.00471263294691695,0.0038147787361134367,,0.0034908124630112555,,0.0029261914049735823
0,Pid,logistic_regression_classifier,mean,0.6759192682421227,0.7314383395522388,0.7327535292288556,0.49652045501658376,0.49960827632669985,0.492665396973466
