,Dataset,model_name,stats,Smote_time(ms),Ada_time,Gan_time,SG_time,AG_time
0,Bcwd_Result,logistic_regression_classifier,sum,168.46260395844345,280.50361209191607,208821.98684935193,253608.61348362782,244684.06237575362
1,,random_forest_classifier,sum,169.52534433598612,275.21563006491726,202332.49091178775,248426.4293389501,236518.32364287382
2,,simple_vector_classifier,sum,148.4400602434339,263.8021917967361,205180.2187909544,244652.8896499465,244376.22465509953
0,Bcwo_Result,logistic_regression_classifier,sum,168.46245280000295,280.50345440000086,208821.98671240103,253608.6133228019,244684.06223379672
1,,random_forest_classifier,sum,169.525201,275.215467199999,202332.4907793995,248426.42919860032,236518.32350920365
2,,simple_vector_classifier,sum,148.43992059999948,263.80203079999484,205180.2186462,244652.88950279728,244376.22450940238
0,Csc_Result,logistic_regression_classifier,sum,112.6104158000002,143.76205200000004,78920.56158099999,81953.26814420028,39231.995404400026
1,,random_forest_classifier,sum,124.15801900000007,158.45299680000002,77137.43580919999,69175.73574000003,41217.64697220002
2,,simple_vector_classifier,sum,111.49036599999992,162.4894602000001,85062.49691679994,76428.64645120004,43274.62017400014
0,Drd_Result,logistic_regression_classifier,sum,1412.7184370000048,,390239.86815839855,335571.3611554161,
1,,random_forest_classifier,sum,264.63116639999936,,432490.40210339945,369616.9801971957,
2,,simple_vector_classifier,sum,228.85970799999924,,392741.49529120256,352716.2074426055,
0,Drp_Result,logistic_regression_classifier,sum,624.452404199999,2154.249967600015,174021.17859899998,176818.34771801234,175903.85091500133
1,,random_forest_classifier,sum,191.91073340000366,276.87919720000644,178890.1959560022,186267.37637820095,174378.50336839556
2,,simple_vector_classifier,sum,136.66742660000236,193.56668300000018,172474.74145319947,179759.7623939976,172508.9804610014
0,Dtcr_Result,logistic_regression_classifier,sum,704.0473806000005,2355.872399999995,100852.76843819991,121738.60795559808,118828.22128579915
1,,random_forest_classifier,sum,243.11091899999883,277.5175565999998,100226.98062860034,117648.24067980127,112965.81573619992
2,,simple_vector_classifier,sum,151.59547940000047,195.0939475999985,97171.17328840235,111211.20409820229,112150.89852160068
0,Fhs_Result,logistic_regression_classifier,sum,282.959137,722.8836402000012,345191.26805100025,2093434.4170313925,1871618.571838795
1,,random_forest_classifier,sum,304.37341699999996,741.1021384000001,317410.1642419999,2033153.1795418009,1775887.788870399
2,,simple_vector_classifier,sum,291.3081045999999,735.7785581999993,327913.7865864006,2018777.8791799985,1824770.9779362015
0,Ggcm_Result,logistic_regression_classifier,sum,1531.515695399997,3504.9070416000322,265817.1981359988,278456.0783543929,262513.93482080847
1,,random_forest_classifier,sum,220.07636359999887,331.21598200002916,266349.3544799991,270438.7962833985,240163.42419720144
2,,simple_vector_classifier,sum,236.0569378000044,313.61506559997804,262815.3552319989,274452.5115337968,241660.69356299937
0,Hfcr_Result,logistic_regression_classifier,sum,150.3107852000002,226.55620099999868,91020.01255419999,91048.0703652002,91085.41018759953
1,,random_forest_classifier,sum,152.62755500000003,192.8985857999998,88686.36933239989,96155.92398739998,83677.63232660024
2,,simple_vector_classifier,sum,137.9697404000002,176.30450780000064,86255.34814039986,88941.00080020045,84183.05756039976
0,Ilpd_Result,logistic_regression_classifier,sum,178.3335556,222.9400334000009,180436.46761699973,260140.66013180278,244175.01320880017
1,,random_forest_classifier,sum,153.92369440000002,229.19510899999986,177689.8464685999,231984.02998760046,228440.07864819895
2,,simple_vector_classifier,sum,152.17600299999887,212.0649570000005,172914.0122216005,239429.64912040066,230777.12168039978
0,Pid_Result,logistic_regression_classifier,sum,141.5484999999997,211.2731961999991,220292.9256912006,253645.58272300698,254599.7948041983
1,,random_forest_classifier,sum,166.33868299999995,249.99831880000346,209816.0266493991,260479.71732800046,238287.02321239896
2,,simple_vector_classifier,sum,149.38974959999996,212.54286279999724,197755.1928601984,237518.08348879963,231771.27531279772
0,Tsd_Result,logistic_regression_classifier,sum,205.65683479999788,2326.168182400009,99962.29525600151,150728.5277373977,146909.90300599486
1,,random_forest_classifier,sum,260.41101159999675,302.4761323999948,95459.43205500244,152229.0583387971,143410.98376480414
2,,simple_vector_classifier,sum,182.1075333999965,219.73378339999908,95624.86042499839,158962.29119680522,140711.23075579404
0,Falling_Result,logistic_regression_classifier,sum,309.1262134713613,1465.519624833868,268709.58552288404,64888960.18756744,59795836.18064063
1,,random_forest_classifier,sum,228.96413614731028,1193.28466495225,286366.79043489083,65363694.90526054,57914474.60363109
2,,simple_vector_classifier,sum,238.4021390316796,1234.1261917877796,283460.66715651774,63858315.608314216,59319587.16732443
0,Lying_Down_Result,logistic_regression_classifier,sum,309.1262090053851,1465.5196277770458,268709.5855189137,64888960.187559664,59795836.18062838
1,,random_forest_classifier,sum,413.30260915904154,1376.1688036619485,630768.5101025421,167453156.0727413,158793507.34828955
2,,simple_vector_classifier,sum,238.40213759291854,1234.1261909808118,283460.66715953685,63858315.6083097,59319587.16733663
0,On_All_Fours_Result,logistic_regression_classifier,sum,309.1262097236978,1465.519609058636,268709.5855331384,64888960.18757009,59795836.1806413
