,Dataset,model_name,stats,Smote_time(ms),Ada_time,Gan_time,SG_time,AG_time
0,Bcwd_Result,logistic_regression_classifier,sum,0.16846260395844345,0.2805036120919161,208.82198684935193,253.6086134836278,244.68406237575363
1,,random_forest_classifier,sum,0.16952534433598612,0.2752156300649172,202.33249091178777,248.4264293389501,236.51832364287384
2,,simple_vector_classifier,sum,0.1484400602434339,0.26380219179673614,205.1802187909544,244.6528896499465,244.37622465509955
0,Bcwo_Result,logistic_regression_classifier,sum,0.16846245280000294,0.28050345440000085,208.821986712401,253.6086133228019,244.6840622337967
1,,random_forest_classifier,sum,0.16952520100000001,0.27521546719999895,202.33249077939948,248.42642919860032,236.51832350920364
2,,simple_vector_classifier,sum,0.1484399205999995,0.26380203079999487,205.1802186462,244.65288950279728,244.37622450940236
0,Csc_Result,logistic_regression_classifier,sum,0.1126104158000002,0.14376205200000006,78.92056158099999,81.95326814420027,39.23199540440003
1,,random_forest_classifier,sum,0.12415801900000006,0.15845299680000002,77.13743580919999,69.17573574000004,41.21764697220002
2,,simple_vector_classifier,sum,0.11149036599999992,0.16248946020000013,85.06249691679994,76.42864645120004,43.27462017400015
0,Drd_Result,logistic_regression_classifier,sum,1.4127184370000045,,390.23986815839856,335.57136115541607,
1,,random_forest_classifier,sum,0.2646311663999994,,432.49040210339945,369.6169801971957,
2,,simple_vector_classifier,sum,0.22885970799999922,,392.7414952912025,352.71620744260554,
0,Drp_Result,logistic_regression_classifier,sum,0.624452404199999,2.1542499676000153,174.021178599,176.81834771801235,175.90385091500133
1,,random_forest_classifier,sum,0.19191073340000367,0.2768791972000065,178.89019595600217,186.26737637820094,174.37850336839557
2,,simple_vector_classifier,sum,0.13666742660000236,0.1935666830000002,172.47474145319947,179.75976239399762,172.50898046100139
0,Dtcr_Result,logistic_regression_classifier,sum,0.7040473806000005,2.355872399999995,100.85276843819992,121.73860795559808,118.82822128579915
1,,random_forest_classifier,sum,0.24311091899999882,0.2775175565999998,100.22698062860036,117.64824067980126,112.96581573619993
2,,simple_vector_classifier,sum,0.15159547940000048,0.19509394759999849,97.17117328840234,111.21120409820229,112.15089852160068
0,Fhs_Result,logistic_regression_classifier,sum,0.282959137,0.7228836402000012,345.1912680510003,2093.4344170313925,1871.618571838795
1,,random_forest_classifier,sum,0.304373417,0.7411021384,317.41016424199995,2033.153179541801,1775.8877888703987
2,,simple_vector_classifier,sum,0.29130810459999995,0.7357785581999994,327.9137865864006,2018.7778791799985,1824.7709779362017
0,Ggcm_Result,logistic_regression_classifier,sum,1.5315156953999969,3.5049070416000325,265.8171981359988,278.4560783543929,262.51393482080846
1,,random_forest_classifier,sum,0.22007636359999888,0.33121598200002916,266.3493544799991,270.4387962833986,240.16342419720144
2,,simple_vector_classifier,sum,0.2360569378000044,0.31361506559997804,262.81535523199886,274.45251153379684,241.66069356299937
0,Hfcr_Result,logistic_regression_classifier,sum,0.1503107852000002,0.22655620099999868,91.0200125542,91.04807036520019,91.08541018759954
1,,random_forest_classifier,sum,0.15262755500000003,0.19289858579999983,88.68636933239989,96.15592398739997,83.67763232660023
