,Dataset,model_name,Stats,Normal_auc,SMOTE_auc,ADASYNC_auc,SG_auc,AG_auc,G_auc
0,Ilpd,logistic_regression_classifier,mean,0.5522617479139219,0.69069901917728,0.6950556287512809,0.6056111843068365,0.6030749524227785,0.6008541941150637
1,,,std,0.0,0.007446238964399169,0.005982315059782495,0.011718134937564626,0.008076896629207036,0.009877057728695932
2,,random_forest_classifier,mean,0.5888325281803543,0.6238801054018446,0.6250146391450738,0.5938054457619675,0.5952356902356902,0.5934145805884936
3,,,std,0.009852804328661258,0.008212638839012925,0.011862995609961386,0.011617700027270117,0.008899386562235063,0.008640464282224564
4,,simple_vector_classifier,mean,0.5,0.6589942907334212,0.6578136436832089,0.49677060459669153,0.4967508417508417,0.49809910701215043
5,,,std,0.0,0.0036303086997416106,0.0027435587296622712,0.0011057365780806953,0.000987300323160413,0.0007468120203541961
0,Csc,logistic_regression_classifier,mean,0.5645780051150895,0.6232949701619778,0.5821824381926682,0.5692028985507246,0.565835464620631,0.5853580562659847
1,,,std,0.0,0.013088537177825816,0.024821166975826127,0.022162147620225257,0.025930424861691358,0.031950232424317604
2,,random_forest_classifier,mean,0.5442242114236999,0.5407928388746802,0.5339300937766411,0.5502557544757033,0.5434782608695652,0.5542412617220801
3,,,std,0.01616494440054816,0.020477851019255245,0.01348309266920082,0.01690789964754296,0.016673151931464583,0.01766746786431067
4,,simple_vector_classifier,mean,0.5,0.5364876385336744,0.5,0.541389599317988,0.5,0.566005967604433
5,,,std,0.0,0.014385511476653434,0.0,0.03543755758414605,0.0,0.02266903715605087
0,Hfcr,logistic_regression_classifier,mean,0.7438167077175696,0.7140992747673782,0.7132004310344828,0.7315724206349207,0.7331443281335522,0.7352464764641489
1,,,std,0.0,0.013494037714299878,0.01743355090589725,0.01429911732458806,0.01788840790689227,0.014534163492509597
2,,random_forest_classifier,mean,0.6589995552818828,0.6748255336617406,0.6791204844006569,0.6598445197044336,0.6606492884510126,0.6640180281882869
3,,,std,0.009594927279873822,0.012529802486203981,0.011537986111615252,0.012033787023199566,0.01244350435725643,0.010439378028018488
4,,simple_vector_classifier,mean,0.5,0.4989608990147783,0.49477627257799667,0.5134441707717571,0.5134441707717571,0.5134441707717571
5,,,std,0.0,0.012349680317343233,0.005583593965967857,0.0,0.0,0.0
0,Ggcm,logistic_regression_classifier,mean,0.8785700952025387,0.88155159137577,0.8804915492190903,0.8747666604442785,0.8761557113745255,0.8750793354489452
1,,,std,0.0,0.0010796757720700455,0.0013257402479992673,0.004108287992124994,0.003813584367577249,0.004682169982268013
2,,random_forest_classifier,mean,0.8342668860058491,0.837306425393566,0.8332132606869517,0.8363952344284736,0.8354716959118911,0.8351562013875925
3,,,std,0.004654778148471402,0.004031809400225079,0.004983651770005324,0.004367571061370902,0.004191153743555929,0.0035378346450144036
4,,simple_vector_classifier,mean,0.7298015447078587,0.7490466134652479,0.749239215823533,0.752251143363823,0.7447183591562442,0.7533013658141995
5,,,std,0.0,0.0034223178232174246,0.0012400660863668774,0.005523132065573751,0.006304047160627567,0.0026724919979720795
0,Bcwd,logistic_regression_classifier,mean,0.9360234659901696,0.935521158148794,0.9381384000140937,0.932458203407149,0.9315319838627275,0.9337283970191851
1,,,std,0.0,0.00529590875624728,0.0037907061453671493,0.007869896907623719,0.00696280398687157,0.007327666188082805
2,,random_forest_classifier,mean,0.9579041364973663,0.96034058277399,0.9628215122526999,0.9551745855574935,0.9553318182618961,0.9558601113401335
3,,,std,0.002724856632008995,0.0029379510133065844,0.0026950277436365326,0.004203462541512354,0.0032470061264448227,0.003360088229396169
4,,simple_vector_classifier,mean,0.8887809840917499,0.8982215527720522,0.901541056674242,0.8934338829871572,0.8910753924211193,0.8940628138047673
5,,,std,0.0,0.0029188688367184127,0.001868298558277309,0.0016012041366140783,0.0014765620650455324,0.0008939835419562643
0,Dtcr,logistic_regression_classifier,mean,0.7885521885521886,0.786871492704826,0.7853849607182941,0.8091717171717172,0.8081459034792368,0.8067727272727273
1,,,std,0.0,0.006297655994370444,0.004788336022489064,0.013399514065185665,0.016074541408041782,0.017436075164845032
2,,random_forest_classifier,mean,0.8835886644219978,0.8769231200897868,0.8708849607182941,0.8836548821548822,0.8849657687991022,0.8814062850729518
3,,,std,0.01051135437993802,0.011379926645348887,0.011767268308026938,0.007150304639342428,0.00619999556514574,0.008078309936106908
4,,simple_vector_classifier,mean,0.615909090909091,0.7786694725028058,0.7949691358024692,0.7359663299663299,0.73924354657688,0.7275757575757577
5,,,std,0.0,0.009961277085378122,0.0026578158056493073,0.021076493588000147,0.01613513975319997,0.021105960354557425
