,Dataset,model_name,Stats,Normal_f1_score,SMOTE_f1_score,ADASYN_f1_score,SG_f1_score,AG_f1_score,G_f1_score
0,Ilpd,logistic_regression_classifier,mean,0.6620902435593805,0.6749428424734316,0.6834276400271605,0.6976461125230567,0.6969104249292769,0.6950698754506958
1,,,std,0.0,0.007092645661762728,0.005193046023023733,0.009525498088787174,0.007089803072193427,0.008265864265718202
2,,random_forest_classifier,mean,0.6840828346495169,0.6815968468594752,0.6817877735753187,0.6874775525731883,0.6890156085279686,0.6879572228342662
3,,,std,0.00843642430466947,0.006867437192992985,0.00976448475602565,0.009332187774921532,0.007229160903212401,0.007440092809291999
4,,simple_vector_classifier,mean,0.5962149554654604,0.5939906818435821,0.5959346135274702,0.595826636155863,0.5958684196981404,0.5967811409227987
5,,,std,0.0,0.004552083621064833,0.0030752574185094325,0.0010564169543588846,0.001069399214839267,0.0008111146227213829
0,Csc,logistic_regression_classifier,mean,0.5784153005464481,0.6189328527695086,0.5935331270810755,0.5738914312935719,0.5784895515788294,0.5880412483873161
1,,,std,0.0,0.011457263417804274,0.023830687368909,0.020427206086139873,0.02542657293060283,0.02915050582566939
2,,random_forest_classifier,mean,0.5575361124226607,0.5527611250555364,0.5471089768897376,0.5630590880246943,0.556810465241926,0.5672798631119651
3,,,std,0.016184467324335497,0.02034410806064711,0.013508790938776181,0.0164470069499593,0.016757991754040344,0.017537613809987918
4,,simple_vector_classifier,mean,0.4198412698412698,0.4710552761482817,0.4198412698412698,0.5506263300794624,0.4198412698412698,0.5708698616188517
5,,,std,0.0,0.02115953136879068,0.0,0.033271087221540256,0.0,0.0216526334187788
0,Hfcr,logistic_regression_classifier,mean,0.7810247263268714,0.7210272738771905,0.7216452531330988,0.7722490176313879,0.7732678522870068,0.7746418793884902
1,,,std,0.0,0.015455052677949225,0.02153552658146637,0.012539197870352839,0.013842164996727743,0.01355324781819315
2,,random_forest_classifier,mean,0.699412706225198,0.6955900403415359,0.7014990585447561,0.6987445201577865,0.6991061294222226,0.702380987569971
3,,,std,0.0075798472341029365,0.0110568467748334,0.009270725237990295,0.009821472169944546,0.01038749272627266,0.008687535229705131
4,,simple_vector_classifier,mean,0.5490945915335314,0.575045115158043,0.5702896489771004,0.5735676077592498,0.5735676077592498,0.5735676077592498
