,Dataset,model_name,Stats,Normal_matthews,SMOTE_matthews,ADASYNC_matthews,SG_matthews,AG_matthews,G_matthews
0,Ilpd,logistic_regression_classifier,mean,0.1525860929483435,0.3444206539502677,0.3524936527713157,0.23758090485748456,0.23557685353712382,0.2305026296092788
1,,,std,0.0,0.01345683050066099,0.010772245791476592,0.024819889647090792,0.018677019872162588,0.021634738052089927
2,,random_forest_classifier,mean,0.201554821313859,0.23849068768179488,0.2402227783786313,0.2108777564713525,0.2146933180221346,0.21172010550032505
3,,,std,0.02217071646004302,0.01570248330667817,0.022763532876901346,0.02464948745153266,0.019113237924991398,0.0194595374448543
4,,simple_vector_classifier,mean,0.0,0.2950316737243771,0.29206813123112846,-0.02787987025655003,-0.027959299321740416,-0.018159816594223287
5,,,std,0.0,0.006390044415595324,0.004990488384077754,0.0088482552287238,0.007862352703514408,0.0065163387893991025
0,Csc,logistic_regression_classifier,mean,0.1350246866847798,0.24422000705660246,0.16598996392537402,0.13719979832046988,0.13423168219667359,0.16914918661762032
1,,,std,0.0,0.026119849098754616,0.049561497372480987,0.04384092075936284,0.05259874171819057,0.06317831816145189
2,,random_forest_classifier,mean,0.09080047751587743,0.08246726552123289,0.06935377519840275,0.10250863648752834,0.08942719382281886,0.11097447908783638
3,,,std,0.033523589763508846,0.041444924469821016,0.027741023055158943,0.03408047701168325,0.03450398564123043,0.03607660885005056
4,,simple_vector_classifier,mean,0.0,0.08242738426076276,0.0,0.0821028272170757,0.0,0.13109967157587712
5,,,std,0.0,0.03162485478876663,0.0,0.07180738031911213,0.0,0.044813618331859595
0,Hfcr,logistic_regression_classifier,mean,0.4947943480858736,0.4045477132247032,0.4037599227095809,0.4738637684755247,0.4761020777902012,0.4799369555109761
1,,,std,0.0,0.026507018930868948,0.03496843657540093,0.02882716647939053,0.03298869330551555,0.030108596664169637
2,,random_forest_classifier,mean,0.3147390045869117,0.33332145235590066,0.34263963058220587,0.3150286019490907,0.3163433393469039,0.32331975994399254
3,,,std,0.01804480636850232,0.023857504772501998,0.02155992863971924,0.023171684924866067,0.024034031428931808,0.0201526027160175
4,,simple_vector_classifier,mean,0.0,-0.0017887790258613735,-0.015564291387449601,0.0830246791192702,0.0830246791192702,0.0830246791192702
5,,,std,0.0,0.028071531979031162,0.01660738481536193,0.0,0.0,0.0
0,Ggcm,logistic_regression_classifier,mean,0.7486589070390427,0.754044651793437,0.7515846624815148,0.7409055471265361,0.7435850873073341,0.741445813229414
1,,,std,0.0,0.0021361754016439435,0.00262109158504118,0.008068228487820659,0.0075102463748176,0.00916149413611565
2,,random_forest_classifier,mean,0.6655832686751049,0.6696288200491021,0.6610093095646116,0.6696386175936397,0.6678269785458314,0.6673175266474713
3,,,std,0.008774467983140915,0.00783711501666185,0.009885158943674453,0.008292571174130597,0.007967901657689043,0.006854228588436729
4,,simple_vector_classifier,mean,0.4663860418810666,0.49165427245219545,0.495902199869782,0.4982702904846476,0.48564397638026924,0.5015382208925098
5,,,std,0.0,0.006757922538148685,0.002380438137943218,0.01094747865635706,0.012730555964039809,0.005352483147445735
0,Bcwd,logistic_regression_classifier,mean,0.879185225134832,0.8706375197470204,0.8655874045477837,0.8698365870533665,0.8681946077903074,0.8722715040769704
1,,,std,0.0,0.010353246280875575,0.008206804072684839,0.015466610163619691,0.01362542833826052,0.014025321586611374
2,,random_forest_classifier,mean,0.9199851519746552,0.9193694723296435,0.9208522304842377,0.9149502149582055,0.9152067752020737,0.9167030067150466
3,,,std,0.004837408592160805,0.006265648913049796,0.005953766429280856,0.008039675710916135,0.0055875759429895085,0.006157003444800153
4,,simple_vector_classifier,mean,0.8133630513471625,0.8022574463344971,0.7858329577419253,0.8186055123533397,0.8149277813228188,0.8195862549632608
5,,,std,0.0,0.005410937594568002,0.003904031258342565,0.002496925774307369,0.002301162405733324,0.001394408411625055
0,Dtcr,logistic_regression_classifier,mean,0.5538188499503062,0.5376925753485108,0.5322094347609225,0.5857448174157577,0.5857315268604751,0.5857074710692871
1,,,std,0.0,0.01198716956840204,0.008801566516668375,0.027967450193676968,0.032229364474944414,0.036986208703732204
