,Dataset,model_name,Stats,Normal_precision,SMOTE_precision,ADASYN_precision,SG_precision,AG_precision,G_precision
0,Ilpd,logistic_regression_classifier,mean,0.6662077045503847,0.7470675126787004,0.7490770744323806,0.6918750136856164,0.6917102230190495,0.6895413914178447
1,,,std,0.0,0.006099865417317267,0.004947483506342989,0.010208602013815392,0.008354986775359423,0.009141693674108053
2,,random_forest_classifier,mean,0.6770522420956886,0.6901639182653304,0.6909270323949596,0.6806564096567221,0.6823330936383517,0.6812729361576111
3,,,std,0.00934586649203399,0.006438366649563948,0.009325109613431623,0.010132992144457974,0.007887142588736058,0.008183262313120976
4,,simple_vector_classifier,mean,0.5112620473032833,0.7429022070341981,0.7403530267264837,0.5575347149662859,0.5575514417284303,0.5673812602562297
5,,,std,0.0,0.0029096572914101126,0.0025111617269884647,0.010385695740403397,0.009205008105209264,0.00829278726905468
0,Csc,logistic_regression_classifier,mean,0.5783892382948986,0.6330551893635267,0.5925415476927461,0.578710131203653,0.5771956335552006,0.5947241050380547
1,,,std,0.0,0.013485636767346935,0.024199338028778453,0.021711489074571506,0.02578714579577884,0.03139494131623607
2,,random_forest_classifier,mean,0.5559906097082492,0.5516493620578868,0.5453545823030305,0.5616301801752113,0.5553539177460665,0.5658418423680013
3,,,std,0.016595862756114937,0.020307726770006536,0.013681683179123232,0.016677539540763606,0.01706390023251205,0.017731012951171958
4,,simple_vector_classifier,mean,0.330625,0.5612057579224443,0.330625,0.5513903461607905,0.330625,0.5757462406120643
5,,,std,0.0,0.01859268284886371,0.0,0.035549183827409875,0.0,0.02203484652420097
0,Hfcr,logistic_regression_classifier,mean,0.779909680620383,0.7449931965789528,0.7442678747731031,0.7711043414349826,0.7719804130751817,0.7736822167233853
1,,,std,0.0,0.01095582972042452,0.013962442086654791,0.01260598690558538,0.01421609768148303,0.0130858454857463
2,,random_forest_classifier,mean,0.701352662698239,0.7115450497592657,0.7152664489733201,0.7015221767552372,0.7021197768325815,0.705146677780629
3,,,std,0.007895941187900789,0.01057931431176888,0.009681384718151559,0.010144906825159008,0.010515026583454459,0.008822524197406721
4,,simple_vector_classifier,mean,0.4609456270064093,0.5632883141851814,0.5556634110927318,0.6484890928011834,0.6484890928011834,0.6484890928011834
5,,,std,0.0,0.012891969913654485,0.008923478392209321,0.0,0.0,0.0
0,Ggcm,logistic_regression_classifier,mean,0.8794613827818776,0.8825913541394025,0.8818851254795741,0.8758946006764964,0.8772636351059913,0.8762576136101778
1,,,std,0.0,0.001047053618293593,0.0012859338575712527,0.0040059167447371105,0.003718116993360629,0.00457616781691121
2,,random_forest_classifier,mean,0.8372862733177477,0.8396144920022708,0.8355490180449924,0.8392834059961038,0.83839636252576,0.8381321836410842
3,,,std,0.0043240340760264465,0.003858538093392364,0.004824541795250378,0.004084825990066521,0.0039260308613457305,0.003354279459204282
4,,simple_vector_classifier,mean,0.740730315233683,0.7554866359904772,0.754635381615923,0.7600375277130167,0.7500873921957107,0.7643161456589573
5,,,std,0.0,0.0036472817115141623,0.0011726669385206567,0.005659957296147618,0.006095086983009424,0.002834809988464512
0,Bcwd,logistic_regression_classifier,mean,0.9437043373094716,0.9395257303862646,0.9377561925820749,0.9392527892862185,0.9384967314739725,0.9404020795369419
1,,,std,0.0,0.0048392976395864205,0.003734446530875895,0.007224647950561651,0.006362062382239845,0.006539651431188073
2,,random_forest_classifier,mean,0.9626632181601672,0.962331900348867,0.9631038442510927,0.9603265411236888,0.9604470460158506,0.9611567939227572
3,,,std,0.0022523735990516614,0.0029156669458503715,0.0027490293232892795,0.0037528983365623892,0.0025887164255782224,0.002869440358027213
4,,simple_vector_classifier,mean,0.9165327119787202,0.90770625922239,0.9019536293110911,0.918259998201965,0.9167266856529559,0.918668922519715
5,,,std,0.0,0.0025490721878545933,0.001748754961677021,0.0010411877629106412,0.0009564820763313668,0.0005821605252976936
0,Dtcr,logistic_regression_classifier,mean,0.8205614589025847,0.8163756768971234,0.8148835277613501,0.8348876533052302,0.8345434647695131,0.8341270910307739
1,,,std,0.0,0.004879884063380631,0.003669481077106185,0.011015937424202652,0.012867317032227292,0.014550775052440958
2,,random_forest_classifier,mean,0.8949432403723592,0.8876802265694429,0.8819272135858466,0.8948143137279572,0.8965273676403681,0.8932414207979259
3,,,std,0.009579567453273072,0.010064012637873675,0.010018588512101434,0.006550418748374163,0.005416150421451587,0.007507644897805323
4,,simple_vector_classifier,mean,0.7902440249045993,0.8204954994330328,0.8286616431407886,0.7930109864661014,0.7986545641005798,0.7909330850568165
5,,,std,0.0,0.0068963547403155965,0.0024428340177309275,0.02021675605332039,0.013211580211042472,0.019709245392066033
0,Drp,logistic_regression_classifier,mean,0.9275673927210628,0.9230144901303069,0.9171815420908677,0.9033387657382864,0.905207290888487,0.9173921523025258
1,,,std,0.0,0.0023278805489558713,0.002722632320171938,0.008674527288891096,0.011214335918636183,0.006864604072657381
2,,random_forest_classifier,mean,0.9737759815753234,0.9736493521107423,0.9743592714981425,0.9746966981404871,0.9746244721598835,0.9750771813617215
3,,,std,0.0021263182767520795,0.002442486903743739,0.0030246863331906252,0.003378289453754784,0.002668799240077932,0.0026357503567337654
4,,simple_vector_classifier,mean,0.378698224852071,0.6748906310834172,0.6399759155609457,0.6616971820739379,0.6526709504976139,0.6334282744477707
5,,,std,0.0,0.00735887188792954,0.0011552444949569746,0.009723185504363635,0.011316482733644762,0.005982880198057114
0,Pid,logistic_regression_classifier,mean,0.7654093706167142,0.7589111584070217,0.7523888409690962,0.5984251526400629,0.6087933223314869,0.6023778318601605
1,,,std,0.0,0.008331934687463093,0.007095589518052906,0.01168607048484617,0.008630823835330073,0.011631249192548236
2,,random_forest_classifier,mean,0.7596044469045697,0.7619720482238493,0.7574596358467259,0.7594266046697503,0.7613409938877834,0.7600821521815347
3,,,std,0.00706270244175877,0.005140377800266172,0.006827140581258177,0.005974034319209763,0.006102194524681048,0.006400185135507759
4,,simple_vector_classifier,mean,0.7560442168196758,0.736333796554585,0.737051354526852,0.7338784901952626,0.7344166533444715,0.7351348158600499
5,,,std,0.0,0.0051252286995133855,0.0039399247809182684,0.0030041863381967786,0.0025254931787763906,0.0024106630893126185
0,Bcwo,logistic_regression_classifier,mean,0.9662666613149046,0.9682760370492574,0.9689257870260779,0.9659909992960259,0.9666648382181134,0.9668264257961473
1,,,std,0.0,0.002066676913832624,0.0016645556546823687,0.003075023485302288,0.003278638527729352,0.0030062229674970744
2,,random_forest_classifier,mean,0.9644864627872839,0.9644368637571097,0.9651059575997363,0.966824889664263,0.9657126854887255,0.9667729210691048
3,,,std,0.0032618618047515397,0.0025445628168049503,0.0028601422093418507,0.002671191182400731,0.003241836301816066,0.0029620909155558357
4,,simple_vector_classifier,mean,0.9635413232606668,0.9677846435912285,0.9700811909903758,0.970014878001456,0.9692033546623645,0.9715941473475506
5,,,std,0.0,0.0018103089295300378,0.0008054224239550669,0.003015353370136918,0.003029138018061377,0.0022936694040267707
0,Tsd,logistic_regression_classifier,mean,0.7622819833805131,0.7974755415062879,0.7926476030288693,0.7632874391141087,0.763800174659588,0.7673450248879996
1,,,std,0.0,0.005816586653508393,0.005726674181062606,0.007564543130841747,0.008209099286975349,0.010346302859421981
2,,random_forest_classifier,mean,0.774598697787227,0.7653256468651812,0.7687095643528312,0.7808895246461602,0.7633276385280613,0.7542554680944703
3,,,std,0.045838859026959146,0.008166834554240103,0.008598864309924466,0.04680552855532595,0.039399969512597964,0.033430095575552266
4,,simple_vector_classifier,mean,0.724309642372114,0.7661941943106437,0.7856764543009125,0.7311883612455282,0.7352327449720683,0.7401033400028442
5,,,std,0.0,0.026338314558316103,0.0672434448750448,0.018163812436740392,0.025147034987630705,0.029546491219191427
0,Drd,logistic_regression_classifier,mean,0.7513281687553913,0.761533912272115,,0.7561383219675906,,0.7579300718993889
1,,,std,0.0,0.00346134305351074,,0.004638745982438697,,0.005208496343226169
2,,random_forest_classifier,mean,0.6860053423325555,0.6891627630555301,,0.6851948320711038,,0.6851293941361617
3,,,std,0.006081019180199574,0.006711943222722097,,0.006445296170123675,,0.006733949480965807
4,,simple_vector_classifier,mean,0.7169678085324507,0.7301858588985233,,0.7227585876231829,,0.7215342068644491
5,,,std,0.0,0.002699663565720686,,0.0021431042909810256,,0.001942701385284009
0,Fhs,logistic_regression_classifier,mean,0.7999223589713365,0.7924219845197044,0.7905563254797622,0.7679445807555676,0.7710110307355866,0.7690553799300415
1,,,std,0.0,0.0033885732007980195,0.0024079835428660597,0.006182178464451652,0.005370482034398186,0.005445550519853605
2,,random_forest_classifier,mean,0.7940011763356524,0.7799825760123456,0.7790548939989754,0.7963150890057565,0.7945429664002825,0.7946497449309882
