,Dataset,model_name,Stats,Normal_specificity,SMOTE_specificity,ADASYNC_specificity,SG_specificity,AG_specificity,G_specificity
0,Ilpd,logistic_regression_classifier,mean,0.3929518205255984,0.7230215271283079,0.7228113150730857,0.49694487868851467,0.49072100444256334,0.4878914624961032
1,,,std,0.0,0.009585588259479845,0.008110305570900887,0.016646725691060026,0.012688311047603876,0.01482217054552799
2,,random_forest_classifier,mean,0.4751319533094707,0.5723428245054738,0.5747270330397161,0.48300524961259356,0.48408105231939424,0.48078425616835163
3,,,std,0.012604931310875395,0.01123858145262081,0.015069683323415592,0.015925147928512844,0.012146932858409613,0.011082396750475355
4,,simple_vector_classifier,mean,0.2849740932642487,0.7379655532572856,0.734164996059567,0.28582675899188625,0.28590237434797017,0.28658393653437575
5,,,std,0.0,0.0035296129137461444,0.0032257653167177642,0.0010394385276517796,0.0011403576313740768,0.0008534253860280449
0,Csc,logistic_regression_classifier,mean,0.5416560102301791,0.6295066069906224,0.5685315430520034,0.566322463768116,0.548754262574595,0.5844661125319693
1,,,std,0.0,0.014951543454279764,0.027026647554723473,0.024390970923919373,0.02789155321479632,0.0353473340970376
2,,random_forest_classifier,mean,0.5255317561807332,0.5265856777493606,0.5161935208866155,0.5330115089514067,0.5244565217391305,0.536399190110827
3,,,std,0.015720586404030283,0.020688642767381412,0.013072590837342555,0.018402237162564793,0.016066965516647012,0.018068188868133685
4,,simple_vector_classifier,mean,0.425,0.573808610400682,0.425,0.5294458653026428,0.425,0.5624286018755329
5,,,std,0.0,0.013886656474708903,0.0,0.043614039146278406,0.0,0.025303924402025026
0,Hfcr,logistic_regression_classifier,mean,0.7050247197829655,0.7152665539940652,0.7125770047668474,0.6883399360301534,0.6905918892659897,0.6936813587253992
1,,,std,0.0,0.012456615808205273,0.013348884339905337,0.01787706952260223,0.023343480537860287,0.017379865393388615
2,,random_forest_classifier,mean,0.6201172822471548,0.6614682356623885,0.6634806566496972,0.6231450037343965,0.624531575787198,0.6278130909362168
3,,,std,0.012994944742174863,0.014997788532182562,0.014881959659501334,0.014838793031219977,0.015135193869027098,0.013010839765096607
4,,simple_vector_classifier,mean,0.3210702341137124,0.39234766202063803,0.354992901900698,0.3446140940518751,0.3446140940518751,0.3446140940518751
5,,,std,0.0,0.01951695761427666,0.006909324150493822,0.0,0.0,0.0
0,Ggcm,logistic_regression_classifier,mean,0.8834810724074611,0.8875370325727557,0.887363710277672,0.8800458357872459,0.8815923126974022,0.8805519962852565
1,,,std,0.0,0.0011175957565281202,0.0013683754431444708,0.004362770196756774,0.004012080037368427,0.005051202816045057
2,,random_forest_classifier,mean,0.8323796202437204,0.8375051829285703,0.8338877847827233,0.8347292849078015,0.8337562642910048,0.8333239244279463
3,,,std,0.005269930361129604,0.004410405181123157,0.005195567819094636,0.004904972622434103,0.004706583777153917,0.003881906914602042
4,,simple_vector_classifier,mean,0.7170524338734054,0.7552644625284299,0.7455980184567602,0.7608789255834267,0.7431911879191629,0.7661180276156855
5,,,std,0.0,0.0042118330492817765,0.0013866722951464538,0.006169092649036195,0.006675033598815441,0.002936246923008627
0,Bcwd,logistic_regression_classifier,mean,0.9282859477975623,0.9315578406092461,0.9406001743691363,0.9255490957422418,0.9244582266592569,0.926976419111598
1,,,std,0.0,0.005834080582613029,0.0037632637340246386,0.008683579261022588,0.007787523839638298,0.008407911735127747
2,,random_forest_classifier,mean,0.9531252032817858,0.958466754300177,0.962959954792453,0.9500093937277578,0.950206694520277,0.9505602929790368
3,,,std,0.0033618041235627307,0.0033869235809212165,0.002761893524639379,0.004846416178263932,0.004114247260057873,0.004026537612004051
4,,simple_vector_classifier,mean,0.8654354303979112,0.8884173293285216,0.908120191848777,0.8719878597060073,0.8690283478182201,0.8727770628760839
5,,,std,0.0,0.003770597390610401,0.0018554799848045358,0.0020092438550833895,0.0018528388654524886,0.0011218000860400302
0,Dtcr,logistic_regression_classifier,mean,0.7677048992975887,0.7806185293609141,0.7826063008969885,0.8003277685470898,0.797057690335323,0.7929188226916686
1,,,std,0.0,0.007752901277176105,0.006290354058775355,0.015395039420697709,0.01920594326514247,0.018609303987937677
2,,random_forest_classifier,mean,0.8811895133522635,0.8803910617635595,0.8780623496350215,0.8814960132218618,0.8811586916452016,0.878478366490551
3,,,std,0.00892118204361635,0.009387085309202969,0.009229384516348802,0.006686075804803676,0.007329456112330814,0.00733558433554974
4,,simple_vector_classifier,mean,0.4563612627581296,0.7372345063633141,0.7666136414917964,0.6750658192015895,0.6742225152599391,0.6574143524012975
5,,,std,0.0,0.01486569554832325,0.0027340616955242323,0.024649160917861155,0.022359566744751747,0.02476281672405868
0,Drp,logistic_regression_classifier,mean,0.9243269230769232,0.9262451923076924,0.9225977564102564,0.9055769230769232,0.9077836538461539,0.9177628205128205
1,,,std,0.0,0.002383780643985698,0.0025711192056044295,0.009411820673716924,0.011261537575440085,0.007518953187963123
2,,random_forest_classifier,mean,0.968613782051282,0.9687211538461538,0.9692868589743588,0.9689871794871794,0.9691346153846153,0.969540064102564
3,,,std,0.0015149733923565715,0.0017204970739863326,0.0025453723990209883,0.002845724048724844,0.002057743436237314,0.001846005470616139
4,,simple_vector_classifier,mean,0.3846153846153845,0.6403285256410256,0.5615176282051281,0.6283028846153846,0.5957820512820512,0.6261522435897435
5,,,std,0.0,0.00835796954945565,0.0009707518908865003,0.01275816817254159,0.01473552991072881,0.006905826524210295
0,Pid,logistic_regression_classifier,mean,0.6763308457711443,0.7333535758706468,0.7307323072139303,0.485857664800995,0.49398209473466004,0.48906001243781094
1,,,std,0.0,0.010342435643413351,0.008327600092562438,0.01455542430223787,0.011312880667766641,0.013247822081465428
2,,random_forest_classifier,mean,0.6782008291873963,0.7236823072139303,0.7238240619817579,0.6767115153399669,0.6793157027363184,0.6787220252902155
3,,,std,0.008749923166194105,0.006564249918664414,0.010620348678993603,0.00805584984622984,0.008885243102450497,0.007190403568191841
4,,simple_vector_classifier,mean,0.6284973569651743,0.7029913660862355,0.7120260623963515,0.6133490723466004,0.613408576907131,0.614195962893864
5,,,std,0.0,0.007245854718429661,0.005263896090718573,0.004417788776816867,0.0036649090293623503,0.003910406959705555
0,Bcwo,logistic_regression_classifier,mean,0.956759135434926,0.9618024528568707,0.9708821392378123,0.9589578527111072,0.959390038574139,0.9601771952426217
1,,,std,0.0,0.0033006517120268866,0.0017346677674456674,0.004921111282951001,0.005877021134012368,0.005078424940000588
2,,random_forest_classifier,mean,0.9557871165639319,0.9585416815334054,0.9637483822274954,0.9623140816036728,0.9602550408430816,0.9630342793095417
3,,,std,0.005475757453997962,0.0043284500638419154,0.004604260524236886,0.004647272611121375,0.004532501932573748,0.004913985671451514
4,,simple_vector_classifier,mean,0.9590465849494134,0.9676140120406739,0.9781087897934875,0.9725929345237467,0.9705508751889168,0.9747858932095655
5,,,std,0.0,0.003216220296307178,0.0013589306287584587,0.005202044379158757,0.005315492261944063,0.004138605878706708
0,Tsd,logistic_regression_classifier,mean,0.1599772036474164,0.5950605369807498,0.5646377912867275,0.20336372847011142,0.20353748733535962,0.20512563323201619
1,,,std,0.0,0.021759991476501147,0.023373708156217733,0.009956075993858159,0.015190405467069918,0.013275901674814851
2,,random_forest_classifier,mean,0.1603991894630192,0.21175835866261394,0.21277178318135762,0.16086651469098273,0.1579303444782168,0.15705775075987838
3,,,std,0.010076537319668472,0.015040179893815491,0.014862323742710376,0.009771332782611384,0.00918105091167278,0.010447837912858197
4,,simple_vector_classifier,mean,0.1489361702127659,0.7621038500506586,0.1569379432624113,0.15016818642350555,0.15138399189463017,0.15148328267477199
5,,,std,0.0,0.06026580755940156,0.007331259572560659,0.004509817540616674,0.006994394510800742,0.005453439928451241
0,Drd,logistic_regression_classifier,mean,0.7505513257893242,0.7579814902326009,,0.7536515483486357,,0.7557707223216092
1,,,std,0.0,0.0031062983225069916,,0.004482285728190069,,0.005027891855324233
2,,random_forest_classifier,mean,0.6858488567395408,0.6891088436671063,,0.6850625832310892,,0.6849580849468089
3,,,std,0.006140269917882138,0.006688887613712701,,0.006446525679051329,,0.0067908446724153455
4,,simple_vector_classifier,mean,0.7111463411692631,0.7147990109251362,,0.7091291557437863,,0.7085360732465008
